origin_country,origin_country_iso,country,country_iso,mode,package_type,product_description,hs_code,max_weight_kg_per_package,max_total_weight_kg,restricted,restricted_details,banned,banned_details,packing_notes
Australia,AU,Canada,CA,road,box,cosmetics,330499,25,8000,no,,no,,Tamper-evident seals; hazard labeling as applicable; product-specific packaging
South Korea,KR,Singapore,SG,courier,envelope,pharmaceutical (prescription),300490,2,50,yes,Prescription validation; import permit; age verification,no,,Secure packaging; privacy-compliant labeling; temperature control if needed
Mexico,MX,Spain,ES,air,box,alcoholic beverages,220830,23,250,yes,Excise compliance; import licenses; age verification,no,,Temperature-stable; tamper-evident seals; appropriate labeling
Saudi Arabia,SA,France,FR,sea,crate,chemical (industrial solvent),382200,5000,26000,yes,Hazmat placarding; license for import; COA,yes,Hazardous nature; environmental risk,UN-certified packaging; segregation; ventilation; spill containment
India,IN,United States,US,air,box,lithium-ion battery,850760,2,400,yes,IATA DG declaration required; Lithium battery shipping restrictions per UN3480/UN3481; battery must be UN38.3 tested,no,,UN-certified packaging; inner packaging to prevent short circuit; individual packaging per battery cell; tamper-evident seals
China,CN,Germany,DE,sea,pallet,pharmaceutical (prescription),300490,1000,25000,yes,Pharmaceutical goods require import licenses and Good Distribution Practice (GDP) compliance,no,,Temperature controlled cargo; validated cold chain; per pallet labelling; chain of custody documents
Brazil,BR,Japan,JP,air,box,fresh fruit/vegetables,80810,23,350,no,,no,,Hazard analysis critical control points; rapid cooling to 4-8°C; phytosanitary certificate where required
Germany,DE,Canada,CA,courier,envelope,cosmetics,330499,2,120,no,,no,,"Tamper-evident, compliant cosmetic labeling, allergen disclosure where required"
United States,US,United Kingdom,GB,multimodal,box,electronics (consumer),851712,23,20000,yes,Export controls; End-Use/Sanctions screening; import VAT handling,no,,Anti-static packaging; ESD safe bags; proper cushioning; moisture barrier
Japan,JP,South Korea,KR,rail,crate,pharmaceutical (prescription),300490,300,18000,yes,GMP/compliance verification; import license; quarantine clearance,no,,Temperature-controlled crate; continuous monitoring; validated transit route
India,IN,United Arab Emirates,AE,air,box,live animal,10619,5,120,yes,CITES/animal health certificate; veterinary import permit,yes,Wildlife protection laws; export controls prohibit certain species,Secure containment; smooth handling; quarantine documentation
France,FR,Spain,ES,road,box,tools/toys,950300,20,1200,no,,no,,Tamper-evident seals; age-appropriate packaging; barcodes
South Africa,ZA,Netherlands,NL,sea,pallet,chemical (industrial solvent),382200,1000,28000,yes,Hazardous goods classification; IMDG label; DG declaration; material safety data,no,,UN-approved drums; leak-tested; secondary containment; temperature controls
Italy,IT,Australia,AU,air,box,alcoholic beverages,220830,23,350,yes,Export permit; excise and duty payment; import restrictions by state,no,,Temperature controlled 0-8°C; insulated packaging; moisture control
Canada,CA,Mexico,MX,courier,envelope,pharmaceutical (prescription),300490,2,60,yes,Pharmacist validation; import permit; cold chain requirement if needed,no,,Cold chain validated; thermal packaging; immediate transit to avoid spoilage
South Korea,KR,Singapore,SG,courier,envelope,cosmetics,330499,2,40,no,,no,,Tamper-evident seals; compliant labeling; allergen disclosure
United Kingdom,GB,France,FR,road,box,used clothing,630900,25,1500,no,,no,,Original packaging trash-free; no prohibited items; proper barcode labeling
China,CN,Spain,ES,multimodal,crate,electronics (consumer),851712,500,22000,yes,Technology export controls; safe/hazard assessment; end-use verification,no,,ESD-safe packaging; shock-absorbent padding; humidity control
Mexico,MX,Japan,JP,air,box,pharmaceutical (prescription),300490,2,60,yes,Pharmacovigilance reporting; import license; cold chain if required,no,,Temperature-controlled packaging; rapid clearance; strong labeling
United Arab Emirates,AE,United States,US,sea,pallet,live animal,10619,800,26000,yes,Quarantine facilities; veterinary export/import permits; health certificates,yes,Certain live animals restricted due to biosecurity,Secure crates; nesting material; biosecure transit; regular health checks
France,FR,Italy,IT,rail,crate,fresh fruit/vegetables,80810,500,18000,no,,no,,Cold chain maintained; quick cross-border transfer; temperature data loggers
Netherlands,NL,South Africa,ZA,sea,pallet,chemical (industrial solvent),382200,1000,24000,yes,Hazardous classification; IMDG code; DG label; shipper's declaration,no,,Leakproof drums; second containment; spill kit; venting caps
Australia,AU,Canada,CA,road,box,toys,950300,25,1200,no,,no,,Child-safe materials; choking-hazard labeling; durable packaging
Spain,ES,Mexico,MX,courier,envelope,used clothing,630900,2,50,no,,no,,Harmonized garment labeling; secure packaging; minimal air space
United Kingdom,GB,Germany,DE,air,box,pharmaceutical (prescription),300490,3,120,yes,Prescription validation; controlled substance governance; import license,no,,Cold chain packaging; chain-of-custody tracking; regulatory approvals
India,IN,United States,US,air,box,lithium-ion battery,850760,2,200,yes,IATA DG declaration required; lithium battery transport rules apply; maximum packaging and State of Charge documentation,no,,UN-approved lithium battery packaging; temperature monitoring not required for small devices; tamper-evident seal recommended
China,CN,Germany,DE,air,envelope,pharmaceutical (prescription),300490,2,150,yes,Pharmaceutical import license and GMP documentation; cold chain handling may be required,no,,Cold chain compliant; temperature data logger; sealed secondary packaging
Brazil,BR,Canada,CA,sea,box,fresh fruit/vegetables,80810,500,18000,no,,no,,"Ventilated pallet, fumigation certificate, per-shipment phytosanitary inspection"
Germany,DE,United Kingdom,GB,rail,crate,electronics (consumer),851712,1000,20000,no,,no,,Secure anti-static packaging; shock indicators; compliant with TAPA if crossing borders
Australia,AU,Japan,JP,air,box,cosmetics,330499,23,300,yes,Cosmetics with active cosmetic ingredients require additive declarations; importer registration may be needed,no,,UN  packaging where applicable; sealed container; tamper-evident seal
United Arab Emirates,AE,Singapore,SG,courier,envelope,pharmaceutical (prescription),300490,2,50,yes,IATA DG declaration; cross-border pharmaceutical import controls; need license,no,,Temperature control not strictly required for standard packs but cool pack recommended; sealed packaging
United States,US,Mexico,MX,road,box,used clothing,630900,30,12000,no,,no,,Original factory packaging inside; no rips; simple plastic wrap
Japan,JP,South Korea,KR,rail,crate,live animal,10619,50,1200,yes,Veterinary certificate; import permits; biosecurity screening,yes,Wildlife protection laws may ban certain species; permits required for others,Transport in dedicated live-animal container; ensure oxygen and feed/water availability
South Africa,ZA,Netherlands,NL,sea,pallet,chemical (industrial solvent),382200,1000,22000,yes,Hazardous materials regulations; DG shipping declaration; containerization with placards,no,,UN-approved hazmat packaging; secondary containment; temperature controlled if volatile
India,IN,Spain,ES,air,box,live animal,10619,2,120,yes,CITES and veterinary permits; quarantine inspection,no,,Dedicated ventilated crate; veterinary health certificate
Canada,CA,France,FR,multimodal,crate,pharmaceutical (prescription),300490,25,1500,yes,"Pharmaceutical import licenses, GMP, and regulatory approvals; cross-border inspections",no,,Cold chain compliant; data logger; tamper-evident seals
Italy,IT,United Kingdom,GB,sea,pallet,toys,950300,800,25000,no,,no,,Safety testing documentation; age labeling; tamper-evident seals
France,FR,Canada,CA,air,box,electronics (consumer),851712,23,400,no,,no,,ESD-safe packaging; internal cushioning; battery restrictions as per carrier
Spain,ES,Italy,IT,road,box,cosmetics,330499,25,1200,yes,Chemicals in cosmetics require allergen labeling; import permits may be needed,no,,Tamper-evident packaging; fragrance-free variant for some routes
Netherlands,NL,United States,US,air,envelope,pharmaceutical (prescription),300490,2,100,yes,IATA DG declaration; regulatory health approvals; cold chain if required,no,,Temperature-controlled packaging; secure seal
Mexico,MX,United Arab Emirates,AE,courier,box,alcoholic beverages,220830,30,600,yes,Excise permits; halal/booze labeling where applicable; import duties,no,,Tamper-evident seal; bottle protection; temperature control for some varieties
Indonesia,ID,Singapore,SG,multimodal,crate,live animal,10619,100,5000,yes,Veterinary clearance; quarantine; import permits,yes,Wildlife protection; certain species prohibited without permits,Certified live-animal container; continuous monitoring
South Korea,KR,United States,US,sea,pallet,chemical (industrial solvent),382200,2000,25000,yes,Hazmat; MSDS; dangerous goods declaration,no,,UN-rated packaging; secondary containment; spill kit on board
United Kingdom,GB,Australia,AU,air,box,pharmaceutical (prescription),300490,2,150,yes,Pharmaceutical import licenses; regulatory approvals; chain of custody,no,,Cold chain validated; data logger; sealed primary/secondary packaging
Canada,CA,Saudi Arabia,SA,air,box,cosmetics,330499,23,400,yes,GCC cosmetics standards; labeling; halal compliance where applicable,no,,Tamper-evident seals; batch tracing; approved ingredients list
Italy,IT,Netherlands,NL,rail,crate,electronics (consumer),851712,500,18000,no,,no,,ESD-safe packaging; shock indicators; secure container seals
France,FR,Japan,JP,sea,pallet,used clothing,630900,800,22000,no,,no,,Fumigation certificate; protective wrapping; load stability provisions
India,IN,United States,US,air,box,lithium-ion battery,850760,23,250,yes,IATA DG declaration required; battery cells/shipped with UN38.3 testing; operator approval,no,,"UN-certified packaging; separate terminals, Vent caps closed; lithium battery mark"
China,CN,Germany,DE,sea,pallet,electronics (consumer),851712,1000,22000,no,,no,,Tamper-evident seals; standard containerization; temperature not critical
Brazil,BR,Japan,JP,air,envelope,pharmaceutical (prescription),300490,2,150,yes,Pharmacovigilance export/import permits; controlled substance restrictions where applicable,no,,Secure leak-proof packaging; prescription documentation included
Germany,DE,France,FR,rail,crate,chemical (industrial solvent),382200,5000,18000,yes,Hazmat per IMDG/IATA with proper labeling; SDS and MSDS required,no,,Double containment; hazmat placards; temperature control if flammable
United States,US,Canada,CA,road,box,fresh fruit/vegetables,80810,23,15000,no,,no,,Cold chain compliant; insulated liners; humidity control
Japan,JP,South Korea,KR,courier,envelope, cosmetics,330499,2,80,no,,no,,Tamper-evident seal; perfume/cosmetics compliant labels
India,IN,United Kingdom,GB,air,case,electronics (consumer),851712,32,300,yes,IATA DG declaration for batteries; explosives not permitted; end-use verification,no,,UN-marked case; interior separation; fire-resistant outer packaging
China,CN,Australia,AU,sea,pallet,live animal,10619,1000,25000,yes,CITES/allergen-free health certificate; veterinary checks,no,,Species-specific crates; ventilation; humane handling provisions
Mexico,MX,Spain,ES,multimodal,box,pharmaceutical (prescription),300490,25,260,yes,Export/import licenses; controlled substance verification; cold chain if required,no,,Temperature monitoring; tamper-evident seals; validated chain of custody
Italy,IT,Netherlands,NL,rail,crate,chemical (industrial solvent),382200,4000,20000,yes,Hazmat classification; IMDG/IATA compliance; SDS available,no,,Secondary containment; hazmat labels; fuel/solvent restriction per route
Singapore,SG,Hong Kong,HK,sea,pallet,used clothing,630900,1000,25000,no,,no,,New/unused packaging; odor control; bulk packed in environmental packaging
France,FR,United Arab Emirates,AE,air,box,toys (small),950300,2,200,no,,no,,Choking-hazard warning labeling; tamper-evident seals
United Kingdom,GB,Canada,CA,courier,envelope,cosmetics,330499,2,60,no,,no,,Sealed cosmetic packaging; labeling per destination rules
South Africa,ZA,Indonesia,ID,road,box,fresh fruit/vegetables,80810,23,12000,no,,no,,Temperature-controlled transport; insulated packaging; moisture control
United States,US,Singapore,SG,air,envelope,pharmaceutical (prescription),300490,2,100,yes,"Pharmacovigilance, import permits; strict control on distribution",no,,Pharmacy-grade packaging; cold chain management; traceability labels
